Unnamed: 0,PostId,PostUrl,PostEngagement,Platform,ChannelID,ChannelName,ChannelUid,ChannelUrl,ChannelEngagement,post_body_text,GoogleAudioText,VoskAudioText,EmbeddedContentText,published_at,post_data,post_media_urls,LikesCount,SharesCount,CommentsCount,ViewsCount,post_media_file,embedded_post_text,search_data,embedded,Tweet,AuthorTweet,Datetime,id
14674,368956653,https://twitter.com/TuckerCarlson/status/1855397398073180473,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":16294298,""following_count"":2,""like_count"":null,""post_count"":5249,""views_count"":null,""comment_count"":null,""share_count"":null}","Zyn is for they/them, Alp is for you.

@alppouch https://t.co/K9fgnxahpL", ,no longer populated,,2024-11-09T23:49:45.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQjdUd3prPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0753656d2a52fdb5978526cfe1923781c0aa26da/post-7323732-368956653-thumbnail,31929,3253,1249,4093602,,,,Embedded content: ,"Zyn is for they/them, Alp is for you.

@alppouch https://t.co/K9fgnxahpL","Author: Tucker Carlson
Tweet: Zyn is for they/them, Alp is for you.

@alppouch https://t.co/K9fgnxahpL",2024-11-09 23:49:45,368956653
14760,368813066,https://twitter.com/TuckerCarlson/status/1855344652422951054,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":16296067,""following_count"":2,""like_count"":null,""post_count"":5249,""views_count"":null,""comment_count"":null,""share_count"":null}","What the hell is going on in the US Senate? Hours after Donald Trump wins the most conclusive mandate in 40 years, Mitch McConnell engineers a coup against his agenda by calling early leadership elections in the senate. Two of the three candidates hate Trump and what he ran on. One of them, John Cornyn, is an angry liberal whose politics are indistinguishable from Liz Cheney’s. The election is Wednesday, it’s by secret ballot, and it will determine whether or not the new administration succeeds. Rick Scott of Florida is the only candidate who agrees with Donald Trump. Call your senator and demand a public endorsement of Rick Scott. Don’t let McConnell get away with it again.", ,no longer populated,,2024-11-09T20:20:10.000Z,post data removed,,355959,102321,23476,21141263,,,,Embedded content: ,"What the hell is going on in the US Senate? Hours after Donald Trump wins the most conclusive mandate in 40 years, Mitch McConnell engineers a coup against his agenda by calling early leadership elections in the senate. Two of the three candidates hate Trump and what he ran on. One of them, John Cornyn, is an angry liberal whose politics are indistinguishable from Liz Cheney’s. The election is Wednesday, it’s by secret ballot, and it will determine whether or not the new administration succeeds. Rick Scott of Florida is the only candidate who agrees with Donald Trump. Call your senator and demand a public endorsement of Rick Scott. Don’t let McConnell get away with it again.","Author: Tucker Carlson
Tweet: What the hell is going on in the US Senate? Hours after Donald Trump wins the most conclusive mandate in 40 years, Mitch McConnell engineers a coup against his agenda by calling early leadership elections in the senate. Two of the three candidates hate Trump and what he ran on. One of them, John Cornyn, is an angry liberal whose politics are indistinguishable from Liz Cheney’s. The election is Wednesday, it’s by secret ballot, and it will determine whether or not the new administration succeeds. Rick Scott of Florida is the only candidate who agrees with Donald Trump. Call your senator and demand a public endorsement of Rick Scott. Don’t let McConnell get away with it again.",2024-11-09 20:20:10,368813066
15165,367975544,https://twitter.com/TuckerCarlson/status/1854953883069825333,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":14886874,""following_count"":2,""like_count"":null,""post_count"":5112,""views_count"":null,""comment_count"":null,""share_count"":null}","Paid partnerships:

Cozy Earth: Use promo code “Tucker” for up to 40% off at https://t.co/0uR7Uoo7wO

ExpressVPN: Get 3 months free at https://t.co/Hwc0LVOH2V

Policygenius: Get your free life insurance quotes today at https://t.co/TlEOdAmqrK

Alp Pouch: Join the VIP list at", ,no longer populated,"Vivek Ramaswamy on how good just triumphed over evil.

(0:00) Donald Trump’s Overwhelming Victory
(7:38) Why Did Vivek Go All-In for Trump?
(20:00) What Are the Effects of Trump’s Win?
(27:04) Trump’s Government Efficiency Plan
(45:33) The Oncoming Collapse of Corporate Media https://t.co/0P3Eyk2uku",2024-11-08T18:27:23.000Z,post data removed,,2034,282,75,694941,,"Vivek Ramaswamy on how good just triumphed over evil.

(0:00) Donald Trump’s Overwhelming Victory
(7:38) Why Did Vivek Go All-In for Trump?
(20:00) What Are the Effects of Trump’s Win?
(27:04) Trump’s Government Efficiency Plan
(45:33) The Oncoming Collapse of Corporate Media https://t.co/0P3Eyk2uku",,Embedded content: ,"Paid partnerships:

Cozy Earth: Use promo code “Tucker” for up to 40% off at https://t.co/0uR7Uoo7wO

ExpressVPN: Get 3 months free at https://t.co/Hwc0LVOH2V

Policygenius: Get your free life insurance quotes today at https://t.co/TlEOdAmqrK

Alp Pouch: Join the VIP list at","Author: Tucker Carlson
Tweet: Paid partnerships:

Cozy Earth: Use promo code “Tucker” for up to 40% off at https://t.co/0uR7Uoo7wO

ExpressVPN: Get 3 months free at https://t.co/Hwc0LVOH2V

Policygenius: Get your free life insurance quotes today at https://t.co/TlEOdAmqrK

Alp Pouch: Join the VIP list at",2024-11-08 18:27:23,367975544
15167,367858646,https://twitter.com/TuckerCarlson/status/1854953677401784508,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":15458597,""following_count"":2,""like_count"":null,""post_count"":5158,""views_count"":null,""comment_count"":null,""share_count"":null}","Vivek Ramaswamy on how good just triumphed over evil.

(0:00) Donald Trump’s Overwhelming Victory
(7:38) Why Did Vivek Go All-In for Trump?
(20:00) What Are the Effects of Trump’s Win?
(27:04) Trump’s Government Efficiency Plan
(45:33) The Oncoming Collapse of Corporate Media https://t.co/0P3Eyk2uku", ,no longer populated,,2024-11-08T18:26:34.000Z,post data removed,,34352,8270,1428,4485368,,,,Embedded content: ,"Vivek Ramaswamy on how good just triumphed over evil.

(0:00) Donald Trump’s Overwhelming Victory
(7:38) Why Did Vivek Go All-In for Trump?
(20:00) What Are the Effects of Trump’s Win?
(27:04) Trump’s Government Efficiency Plan
(45:33) The Oncoming Collapse of Corporate Media https://t.co/0P3Eyk2uku","Author: Tucker Carlson
Tweet: Vivek Ramaswamy on how good just triumphed over evil.

(0:00) Donald Trump’s Overwhelming Victory
(7:38) Why Did Vivek Go All-In for Trump?
(20:00) What Are the Effects of Trump’s Win?
(27:04) Trump’s Government Efficiency Plan
(45:33) The Oncoming Collapse of Corporate Media https://t.co/0P3Eyk2uku",2024-11-08 18:26:34,367858646
16514,365063875,https://twitter.com/TuckerCarlson/status/1853974700616982801,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":16172926,""following_count"":2,""like_count"":null,""post_count"":5231,""views_count"":null,""comment_count"":null,""share_count"":null}",https://t.co/JcVCLtnWh4, ,no longer populated,,2024-11-06T01:36:28.000Z,post data removed,,72891,12381,1806,6993961,,,,Embedded content: ,https://t.co/JcVCLtnWh4,"Author: Tucker Carlson
Tweet: https://t.co/JcVCLtnWh4",2024-11-06 01:36:28,365063875
16640,364891624,https://twitter.com/TuckerCarlson/status/1853916744110268473,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":16170731,""following_count"":2,""like_count"":null,""post_count"":5231,""views_count"":null,""comment_count"":null,""share_count"":null}",See you tonight., ,no longer populated,"TONIGHT: One of the most important election nights in American history. Watch alongside Tucker Carlson and special guests from Donald Trump’s inner circle as they broadcast live from Mar-a-Lago.

Streaming tonight at 7:30 ET on YouTube, X, https://t.co/czOhKmdT1u, and on the TCN https://t.co/c9vIxBGgqz",2024-11-05T21:46:10.000Z,post data removed,,20208,3067,1064,4887060,,"TONIGHT: One of the most important election nights in American history. Watch alongside Tucker Carlson and special guests from Donald Trump’s inner circle as they broadcast live from Mar-a-Lago.

Streaming tonight at 7:30 ET on YouTube, X, https://t.co/czOhKmdT1u, and on the TCN https://t.co/c9vIxBGgqz",,Embedded content: ,See you tonight.,"Author: Tucker Carlson
Tweet: See you tonight.",2024-11-05 21:46:10,364891624
16665,365086333,https://twitter.com/TuckerCarlson/status/1853907593179152750,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":14408455,""following_count"":1,""like_count"":null,""post_count"":5092,""views_count"":null,""comment_count"":null,""share_count"":null}",Tune into the ONLY Election Night show run completely live from Mar-a-Lago with President Trump and his team. Don’t miss Tucker Carlson’s Election Night coverage →, ,no longer populated,,2024-11-05T21:09:48.000Z,post data removed,,4995,723,253,1341612,,,,Embedded content: ,Tune into the ONLY Election Night show run completely live from Mar-a-Lago with President Trump and his team. Don’t miss Tucker Carlson’s Election Night coverage →,"Author: Tucker Carlson
Tweet: Tune into the ONLY Election Night show run completely live from Mar-a-Lago with President Trump and his team. Don’t miss Tucker Carlson’s Election Night coverage →",2024-11-05 21:09:48,365086333
17136,364112645,https://twitter.com/TuckerCarlson/status/1853580550776189350,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":14781454,""following_count"":2,""like_count"":null,""post_count"":5108,""views_count"":null,""comment_count"":null,""share_count"":null}",Join us at @alppouch. https://t.co/VKbo7mKS1F, ,no longer populated,,2024-11-04T23:30:15.000Z,post data removed,,8760,1302,532,1341667,,,,Embedded content: ,Join us at @alppouch. https://t.co/VKbo7mKS1F,"Author: Tucker Carlson
Tweet: Join us at @alppouch. https://t.co/VKbo7mKS1F",2024-11-04 23:30:15,364112645
17663,363401105,https://twitter.com/TuckerCarlson/status/1853159049883447434,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":14781454,""following_count"":2,""like_count"":null,""post_count"":5108,""views_count"":null,""comment_count"":null,""share_count"":null}","Paid partnerships:

Jase Medical: Use promo code “Tucker” for an extra discount at https://t.co/eQTjdD51wf

ExpressVPN: Get 3 months free at https://t.co/qjtwz8Opul

Heritage Foundation: https://t.co/QFhMvwMlKn", ,no longer populated,"Nobody in the media ever mentions it, but Kamala Harris helped turn the biggest state in the union from paradise into a dangerous slum. Chris Moritz watched it happen.

Includes paid partnerships. https://t.co/XVpFrRGOV6",2024-11-03T19:35:22.000Z,post data removed,,1828,238,107,898592,,"Nobody in the media ever mentions it, but Kamala Harris helped turn the biggest state in the union from paradise into a dangerous slum. Chris Moritz watched it happen.

Includes paid partnerships. https://t.co/XVpFrRGOV6",,Embedded content: ,"Paid partnerships:

Jase Medical: Use promo code “Tucker” for an extra discount at https://t.co/eQTjdD51wf

ExpressVPN: Get 3 months free at https://t.co/qjtwz8Opul

Heritage Foundation: https://t.co/QFhMvwMlKn","Author: Tucker Carlson
Tweet: Paid partnerships:

Jase Medical: Use promo code “Tucker” for an extra discount at https://t.co/eQTjdD51wf

ExpressVPN: Get 3 months free at https://t.co/qjtwz8Opul

Heritage Foundation: https://t.co/QFhMvwMlKn",2024-11-03 19:35:22,363401105
17664,363267146,https://twitter.com/TuckerCarlson/status/1853158844924416197,,Twitter,7323732,Tucker Carlson,blank_for_now,blank_for_now,"{""follower_count"":16161416,""following_count"":2,""like_count"":null,""post_count"":5229,""views_count"":null,""comment_count"":null,""share_count"":null}","Nobody in the media ever mentions it, but Kamala Harris helped turn the biggest state in the union from paradise into a dangerous slum. Chris Moritz watched it happen.

Includes paid partnerships. https://t.co/XVpFrRGOV6", ,no longer populated,,2024-11-03T19:34:33.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSjJ6NVRrPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8ae02064fe24878a403acdc2e1dc29fa723af850/post-7323732-363267146-thumbnail,30434,8839,1398,3015046,,,,Embedded content: ,"Nobody in the media ever mentions it, but Kamala Harris helped turn the biggest state in the union from paradise into a dangerous slum. Chris Moritz watched it happen.

Includes paid partnerships. https://t.co/XVpFrRGOV6","Author: Tucker Carlson
Tweet: Nobody in the media ever mentions it, but Kamala Harris helped turn the biggest state in the union from paradise into a dangerous slum. Chris Moritz watched it happen.

Includes paid partnerships. https://t.co/XVpFrRGOV6",2024-11-03 19:34:33,363267146
